b'Herm\xc3\xa8s Tie',"b""Men's light yellow Herm\xc3\xa8s silk cotton print tie."""
b'Herm\xc3\xa8s Vintage classic tie',b'Green silk classic 90s tie from Herm\xc3\xa8s Vintage featuring a pointed tip and a branded rear patch. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage patterned tie',b'Brown silk patterned tie from Herm\xc3\xa8s Vintage featuring a pointed tip and a printed logo. Please note that vintage items are not new and therefore might have minor imperfections. This item fits true to size.'
b'Herm\xc3\xa8s Vintage floral tie',b'Black and white silk floral tie from Herm\xc3\xa8s Vintage.'
b'Herm\xc3\xa8s Vintage floral tie',b'Red and green silk floral tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage chain link motif tie',b'Tonal blue silk chain link motif tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage geometric pattern tie',b'Pink and white silk geometric pattern tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage chain link motif tie',b'Red and grey silk chain link motif tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage pumpkin motif tie',b'Orange silk pumpkin motif tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage dove motif tie',b'Pink and white silk dove motif tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage reindeer tie',b'Blue silk reindeer tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage patterned tie',b'White and red silk patterned tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage geometric pattern tie',b'Blue silk geometric pattern tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage patterned tie',b'Black and white silk patterned tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage owl motif tie',b'Blue and red silk owl motif tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage classic tie',b'Blue silk classic tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage sunflower tie',b'Blue and yellow silk sunflower tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage chain link motif tie',b'Blue and grey silk chain link motif tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage geometric pattern tie',b'Green and grey silk geometric pattern tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage chain link motif tie',b'Green and grey silk chain link motif tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage horse motif tie',b'Green and blue silk horse motif tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage zebra tie',b'Pink and white silk zebra tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage tree motif tie',b'Pink and yellow silk tree motif tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage patterned tie',b'Tonal blue silk patterned tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage geometric pattern tie',b'Purple and green silk geometric pattern tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage desert tie',b'Multicolour silk desert tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage ribbed tie',b'Dark blue silk ribbed tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage bear motif tie',b'Blue and brown silk bear motif tie from Herm\xc3\xa8s Vintage.'
b'Herm\xc3\xa8s Vintage patterned tie',b'Black and white silk patterned tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage elephant tie',b'Pink and grey silk elephant tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Herm\xc3\xa8s Vintage paisley tie',b'Multicolour silk paisley tie from Herm\xc3\xa8s Vintage. Please note that vintage items are not new and therefore might have minor imperfections.'
