,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
b'1136',b'452966849',b'265.0',b'Gucci classic tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/5f/2e/5f2e32193e4a047ae48ffbd424530246_best.jpg',b'Navy silk classic tie from Gucci featuring a pointed tip.',b'farfetch.com',b'unknown',b'_silk',b'False'
b'1465',b'453573192',b'174.0',b'Gucci Small-GG jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/dd/d2/ddd2af7cf3ef82e69f3d4d09d28f68b0_best.jpg',"b'<ul><li>Black, dark-grey and light-grey GG-jacquard, silk</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1466',b'453573194',b'174.0',b'Gucci Horsebit-jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7d/79/7d7947ccbf9d2f8612834cb3ac732ab9_best.jpg',"b'<ul><li>Navy, burgundy and silver-grey horsebit-jacquard, silk</li><li>Navy GG jacquard lining </li><li>100% silk</li><li>Dry clean</li><li>Country of origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1467',b'453573230',b'174.0',b'Gucci Horsebit-jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/1f/75/1f7598c96977a64ee0d76563ffcddc6f_best.jpg',"b'<ul><li>Forest-green, dark-brown and champagne-beige horsebit jacquard, silk</li><li>Dark-brown GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1469',b'453573329',b'174.0',b'Gucci Retro silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/d8/5e/d85ecfb5bbe6d43301bb01fb2170b59a_best.jpg',"b'<ul><li>Khaki-brown and black geometric jacquard, silk</li><li>Silver-grey jacquard pin-dots</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1822',b'453573317',b'174.0',b'Gucci Micro-weave jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/3d/c7/3dc765cb3ae9fa5578049db215c14232_best.jpg',"b'<ul><li>Navy and dark-greyjacquard, silk</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1823',b'453861901',b'174.0',b'Gucci Retro silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/81/7f/817fbe2d912fb4edc96ebd381bf62c93_best.jpg',"b'<ul><li>Silver-grey and navy geometric-jacquard, silk</li><li>Red jacquard pin-dots</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1836',b'457219051',b'147.0',b'Gucci Wool and silk-blend bow tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/f7/b8/f7b8e2305fc74eb68bfe7ccb48b06cbf_best.jpg',"b'<ul><li>Black, wool and silk-blend</li><li>Adjustable hook fastening</li><li>68% wool, 32% silk</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_wool',b'False'
b'1839',b'450711320',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/1c/7b/1c7bcd93fdaf89ece368e5a2f3dbb7d6_best.jpg',"b'<ul> <li>red and dark grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'1840',b'450711325',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/ce/fb/cefb07f40420f7e8b5f62e2a41d6b355_best.jpg',"b'<ul> <li>olive green</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'1841',b'450711337',b'170.0',b'Striped Silk Twill Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/ac/e2/ace2abaae8af63998348cb9e673d1d6e_best.jpg',b'<ul> <li>dark blue and red</li> <li>100% silk</li> <li>Made in Italy</li> </ul>',b'Gucci',b'unknown',b'_silk',b'False'
b'1842',b'429772996',b'200.0',b'GG patterned silk twill tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/34/a6/34a61d153c131f8767e5424a23b821eb_best.jpg',"b'<ul> <li>navy and beige</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'1843',b'355488578',b'200.0',b'Solid Tie.',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/aa/93/aa93f24233a69dc9824161aa19c0db3e_best.jpg',"b'<ul> <li>website exclusive</li> <li>white</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
